,Twitter Handle,Created At,ID,Tweet Text,State,Branch,Last Name,First Name,Party
0,SenShelby,2022-04-07 18:33:24,1512136477215531025,"Today I voted against the confirmation of Judge Ketanji Brown Jackson, the President's #SCOTUS nomination. My conce… https://t.co/mZcm3OdHK0",Alabama,U.S. Senator,Shelby,Richard,R
1,SenShelby,2022-04-06 18:12:19,1511768780313174020,.@UofAlabama received a competitive $360M @NOAA award to facilitate a cutting-edge Cooperative Institute focused on… https://t.co/aUxnVCXPYj,Alabama,U.S. Senator,Shelby,Richard,R
2,SenShelby,2022-04-06 17:11:04,1511753367865143299,A lot of great things happening in several of Alabama’s downtowns. This article from @MadeinAL highlights some exci… https://t.co/ikEi8xtVGe,Alabama,U.S. Senator,Shelby,Richard,R
3,SenShelby,2022-04-05 14:52:31,1511356113857437702,BIG news for Alabama! #ProjectKuiper will have a significant impact on our state through its investment in… https://t.co/wKja5h7wmI,Alabama,U.S. Senator,Shelby,Richard,R
4,SenShelby,2022-04-01 16:25:11,1509929882515615747,"While I enjoyed meeting Judge Jackson, her answers did not sufficiently alleviate my concerns. As such, I am unable… https://t.co/4HKOBL7tR5",Alabama,U.S. Senator,Shelby,Richard,R
5,SenShelby,2022-04-01 16:25:11,1509929880972140554,"Judge Jackson and I had a candid discussion in which I questioned her about my concerns, such as her judicial philo… https://t.co/yEyZ0ZiKrQ",Alabama,U.S. Senator,Shelby,Richard,R
6,SenShelby,2022-04-01 16:25:10,1509929879126609926,"Yesterday, I had the opportunity to meet with Judge Jackson. As with any #SCOTUS nominee, I believe it's important… https://t.co/Xl7ZwIKv1U",Alabama,U.S. Senator,Shelby,Richard,R
7,SenShelby,2022-03-31 16:55:51,1509575210269302789,"This morning, I attended a Big 8 meeting with the Secretary of Defense. The FY23 budget he presented was utterly di… https://t.co/tuSdmybXES",Alabama,U.S. Senator,Shelby,Richard,R
8,SenShelby,2022-03-30 21:16:48,1509278492260814856,I want to thank @NEMA_DC for honoring me with their 2022 Legislative Award this afternoon. Throughout my time in Co… https://t.co/IxThBdo57F,Alabama,U.S. Senator,Shelby,Richard,R
9,SenShelby,2022-03-29 22:16:32,1508931139007832068,"President Biden, again, wants to overfund liberal policies and shortchange our military. His budget proposes a 14%… https://t.co/8JDRisLYZM",Alabama,U.S. Senator,Shelby,Richard,R
10,SenShelby,2022-03-28 22:38:27,1508574265670615043,"I am disappointed that the Administration chose not to build on Congress’s FY22 bipartisan work. Once again, this r… https://t.co/ZtMSAppkdV",Alabama,U.S. Senator,Shelby,Richard,R
11,SenShelby,2022-03-28 22:38:27,1508574264458465280,The Biden budget increases non-defense spending by nearly $100B while defense spending does not even keep pace with… https://t.co/Q7c4YNoANu,Alabama,U.S. Senator,Shelby,Richard,R
12,SenShelby,2022-03-28 22:38:26,1508574260624859140,"After his budget request last year was roundly rejected in Congress, the President has again proposed a fiscal blue… https://t.co/DX4Z0iPMNd",Alabama,U.S. Senator,Shelby,Richard,R
13,SenShelby,2022-03-25 16:42:50,1507397608725225521,Pleased that @AuburnU was awarded a $24 million @DHSgov contract for canine detection research – the largest contra… https://t.co/TiXUUusT1Q,Alabama,U.S. Senator,Shelby,Richard,R
14,SenShelby,2022-03-22 19:15:13,1506348791368196102,I hope you will join me in celebrating #NationalAgDay and all that our farmers &amp; producers do for our nation. They… https://t.co/ogScJ7vYQl,Alabama,U.S. Senator,Shelby,Richard,R
15,SenShelby,2022-03-17 20:23:27,1504554026251309056,"Today marks a significant milestone for @NASA_SLS, the most powerful rocket we've ever built! The SLS with the… https://t.co/9qdvNpBdbl",Alabama,U.S. Senator,Shelby,Richard,R
16,SenShelby,2022-03-17 17:52:23,1504516005887979525,Wishing everyone a happy and lucky #StPatricksDay! https://t.co/10T0T23sFx,Alabama,U.S. Senator,Shelby,Richard,R
17,SenShelby,2022-03-16 13:38:36,1504089755377618945,Zelenskyy’s address was a Churchillian moment. He spoke to Congress and the whole world about the plight of the Ukr… https://t.co/FUeo0Zaa0n,Alabama,U.S. Senator,Shelby,Richard,R
18,Ttuberville,2022-04-11 19:33:50,1513601235638697999,They just want to take your guns.,Alabama,U.S. Senator,Tuberville,Tommy,R
19,Ttuberville,2022-04-11 19:32:06,1513600797317152776,Right on cue…Democrats prove they have no idea what they’re talking about and no interest in tackling issues that a… https://t.co/vQyykbN5jo,Alabama,U.S. Senator,Tuberville,Tommy,R
20,Ttuberville,2022-04-11 18:32:09,1513585713958334468,"RT @BuckSexton: Abject lunacy. 
 https://t.co/FPLRuXOS1J",Alabama,U.S. Senator,Tuberville,Tommy,R
21,Ttuberville,2022-04-11 18:25:01,1513583918070771715,"Democrats are awful at governing. 

https://t.co/z5RH7mgTZp",Alabama,U.S. Senator,Tuberville,Tommy,R
22,Ttuberville,2022-04-11 17:02:17,1513563094693384196,"“We’re lifting Title 42 on the southern border because Covid is over.” - Biden Administration 

“We’re extending th… https://t.co/9Ff5k37XIZ",Alabama,U.S. Senator,Tuberville,Tommy,R
23,Ttuberville,2022-04-11 16:04:11,1513548474754768899,"Today, you’ll see Biden attempt to blame rising crime on the 2nd Amendment instead of criminals being let out of ja… https://t.co/Eog7shdxZU",Alabama,U.S. Senator,Tuberville,Tommy,R
24,Ttuberville,2022-04-11 15:40:30,1513542513272963072,This Administration doesn’t want Covid to end. Ever. https://t.co/KKKtFd3mx8,Alabama,U.S. Senator,Tuberville,Tommy,R
25,Ttuberville,2022-04-11 00:27:37,1513312782145499144,RT @ScottJenningsKY: Winter is coming,Alabama,U.S. Senator,Tuberville,Tommy,R
26,Ttuberville,2022-04-08 17:33:29,1512483784981356546,"RT @RepStefanik: The Biden Administration is still imposing mask mandates on children under the age of five.
 
This is woefully out of touc…",Alabama,U.S. Senator,Tuberville,Tommy,R
27,Ttuberville,2022-04-08 15:54:34,1512458889542963202,"Reap the whirlwind, Dems. The #midterms are coming. 

https://t.co/NEdWYVho39",Alabama,U.S. Senator,Tuberville,Tommy,R
28,Ttuberville,2022-04-07 21:40:53,1512183654923046912,"The @WhiteHouse calls @GovAbbott’s plan a “publicity stunt”…but, they have no problem flying illegals to cities aro… https://t.co/Bizc074Vwt",Alabama,U.S. Senator,Tuberville,Tommy,R
29,Ttuberville,2022-04-07 13:54:34,1512066306605871107,RT @whnt: Tommy Tuberville to vote against Judge Ketanji Brown Jackson's SCOTUS nomination https://t.co/er5POsTuIq,Alabama,U.S. Senator,Tuberville,Tommy,R
30,Ttuberville,2022-04-07 00:15:02,1511860063207845891,RT @TTuberville: Are you kidding me? I don’t know why I’m surprised by this. #AmericanCrisis,Alabama,U.S. Senator,Tuberville,Tommy,R
31,Ttuberville,2022-04-07 00:14:55,1511860033012776964,RT @TTuberville: Go Dawgs!,Alabama,U.S. Senator,Tuberville,Tommy,R
32,Ttuberville,2022-04-07 00:14:53,1511860023479214091,RT @TTuberville: NO. #SCOTUS,Alabama,U.S. Senator,Tuberville,Tommy,R
33,Ttuberville,2022-04-07 00:14:48,1511860005124943873,RT @TTuberville: The legend continues.,Alabama,U.S. Senator,Tuberville,Tommy,R
34,Ttuberville,2022-04-07 00:14:46,1511859993561251842,"RT @TTuberville: Anything, @POTUS? Or will you just continue to lead from behind on EVERYTHING? Embarrassing.",Alabama,U.S. Senator,Tuberville,Tommy,R
